1 25 25.5 6
2 43 1.5 6.5
3 30 16 13
4 43 6 11.5
5 29 26 5
6 14.5 29.5 20
7 30.5 0.5 31.5
8 36.5 26 9
9 32 26 18.5
10 39.5 25 0
11 25 22.5 25
12 25 16.5 22
13 2.5 33.5 35
