1 29 6 2
2 27 12.5 10.5
3 25 28.5 6
4 31.5 3 9
5 20 39 3.5
6 26 22.5 4
7 14 32.5 17.5
8 32 11 22.5
9 39.5 1 21
10 16.5 39.5 17
11 27.5 20 12.5
